time,Max,Mean,Min,P_5,P_95
1999-05-01,202.9969940185547,145.8295433054358,131.1714324951172,135.18988800048828,156.6669
1999-06-01,70.87979999999999,67.02915267368715,49.46637725830078,65.27284889221191,68.85543876708982
1999-07-01,67.9852066040039,48.72574488841729,44.78909683227539,46.38398056030273,51.41715
1999-08-01,151.1355438232422,68.6338948721537,54.21302795410156,55.57187194824219,82.21164999999999
1999-09-01,152.45809936523438,135.536196757098,128.47842407226562,129.7656150817871,141.423415
1999-10-01,192.525,128.1642128896326,109.25293731689453,111.41781311035156,145.8798
1999-11-01,246.066,220.63924952065054,211.864,215.83710861206055,225.5651
1999-12-01,252.45701599121094,242.29402591910008,223.978,235.19445000000002,249.46399993896483
2000-01-01,277.888,257.8198184169365,249.30934143066406,252.10252609252927,263.03805
2000-02-01,297.695,233.10669106360962,216.04966735839844,218.79324111938476,246.7375
2000-03-01,294.125,212.41770411223155,189.0199737548828,192.3953987121582,232.2689
2000-04-01,293.409,219.96725447516727,201.21192932128906,203.62442779541016,236.08135000000001
2000-05-01,212.192,96.15339255636576,65.97285461425781,68.05761070251465,125.2162
2000-06-01,126.69879999999998,42.723930252199246,18.954607009887695,20.32892198562622,65.82042999999999
2000-07-01,72.06710000000001,27.46029090699296,12.698091506958008,14.726391077041626,40.649499999999996
2000-08-01,30.9004,11.391135042332445,2.059962749481201,4.411581254005432,17.59355
2000-09-01,73.00869999999999,25.831156461762216,11.332926750183105,13.65529990196228,37.97475
2000-10-01,151.851,46.78632322155715,21.94788360595703,24.721664333343504,69.39885000000001
2000-11-01,182.80706787109375,175.91938471724345,160.709,171.98415,179.75887069702148
2000-12-01,296.2966003417969,285.8973135579429,241.597,278.42449999999997,293.6624572753906
2001-01-01,264.0450134277344,256.62252420019126,250.85984802246094,253.9766,259.8715698242188
2001-02-01,293.60247802734375,218.5950620608446,201.8993682861328,203.75634536743166,232.11880000000002
2001-03-01,303.031,213.91544282246406,193.9106903076172,198.32377548217772,229.2836
2001-04-01,205.63,147.42938133922047,128.14236450195312,133.00259017944336,161.75324999999998
2001-05-01,88.77429999999998,40.80570398944759,28.62196159362793,30.336272144317626,50.959385
2001-06-01,38.1293,13.903957417412125,4.092145919799805,7.099521255493164,20.20450500000001
2001-07-01,18.284700000000004,8.537307671410872,1.8285070657730103,3.23141804933548,12.722155
2001-08-01,60.9417,18.79315906715702,6.290159702301025,8.315839195251465,28.547600000000003
2001-09-01,90.0757,43.980456113508296,30.6435546875,32.88058452606201,54.06870000000001
